1674989020.383304	button pushed	Button object - panel: 6 button: 0 status: UP color: rouge
1674989021.702643	button pushed	Button object - panel: 6 button: 7 status: DOWN color: noir
1674989021.801013	button pushed	Button object - panel: 6 button: 7 status: UP color: noir
1674989023.0510416	button pushed	Button object - panel: 6 button: 0 status: DOWN color: rouge
1674989023.0545518	vector subenigmas solved	[False, False, True, True, True]
1674989023.1357174	button pushed	Button object - panel: 6 button: 0 status: UP color: rouge
1674989025.2199643	button pushed	Button object - panel: 0 button: 0 status: DOWN color: rouge
1674989025.3260045	button pushed	Button object - panel: 0 button: 0 status: UP color: rouge
1674989026.6538603	button pushed	Button object - panel: 0 button: 1 status: DOWN color: bleu
1674989026.7885256	button pushed	Button object - panel: 0 button: 1 status: UP color: bleu
1674989027.417518	button pushed	Button object - panel: 0 button: 1 status: DOWN color: bleu
1674989027.5298352	button pushed	Button object - panel: 0 button: 1 status: UP color: bleu
1674989028.427935	button pushed	Button object - panel: 0 button: 2 status: DOWN color: jaune
1674989028.5200148	button pushed	Button object - panel: 0 button: 2 status: UP color: jaune
1674989030.513869	button pushed	Button object - panel: 0 button: 5 status: DOWN color: turquoise
1674989030.6346135	button pushed	Button object - panel: 0 button: 5 status: UP color: turquoise
1674989031.3702173	button pushed	Button object - panel: 0 button: 4 status: DOWN color: orange
1674989031.4260054	button pushed	Button object - panel: 0 button: 4 status: UP color: orange
1674989032.7708592	button pushed	Button object - panel: 0 button: 6 status: DOWN color: blanc
1674989032.84149	button pushed	Button object - panel: 0 button: 6 status: UP color: blanc
1674989034.1433938	button pushed	Button object - panel: 0 button: 7 status: DOWN color: noir
1674989034.2492282	button pushed	Button object - panel: 0 button: 7 status: UP color: noir
1674989036.7624297	button pushed	Button object - panel: 0 button: 0 status: UP color: rouge
1674989037.179556	button pushed	Button object - panel: 0 button: 0 status: DOWN color: rouge
1674989037.235984	vector subenigmas solved	[False, True, True, True, True]
1674989037.26442	button pushed	Button object - panel: 0 button: 0 status: UP color: rouge
1674989059.6969008	button pushed	Button object - panel: 0 button: 8 status: DOWN color: None
1674989059.7622323	vector subenigmas solved	[True, True, True, True, True]
1674989059.788036	button pushed	Button object - panel: 0 button: 8 status: UP color: None
